OTU_ID,EDNA20_474001,EDNA20_474005,EDNA20_474014,EDNA20_474043,EDNA20_474079,EDNA20_474086,EDNA20_474091,EDNA20_474099,EDNA20_474103,EDNA20_474107,EDNA20_474143,EDNA20_474148,EDNA20_474160,EDNA20_474175,EDNA20_474179,EDNA20_474198,EDNA20_474207,EDNA20_474217,EDNA20_474237,EDNA20_478618,EDNA20_478631,EDNA20_478635,EDNA20_478639,EDNA20_478655,EDNA20_478672,EDNA20_478677,EDNA20_478685,EDNA20_478689,EDNA20_478706,EDNA20_478732,EDNA20_478745,EDNA20_478748,EDNA20_478752,EDNA20_478847,EDNA20_478851,EDNA20_478867,EDNA20_478887,EDNA20_478895,EDNA20_478907,EDNA20_478929,EDNA20_478933,EDNA20_478941,EDNA20_478949,EDNA20_478954,EDNA20_478959,EDNA20_478964,EDNA20_478969,EDNA20_478973,EDNA20_478977,EDNA20_478981,EDNA20_478985,EDNA20_478989,EDNA20_478993,EDNA20_478997
Acartia longiremis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7334,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,99546,0,0,0,0,0,0,14528,0,0,0,0,0,0,0,52798,2510,0,0,440,2646,939,1295,1249,0,0,552,0,0,0,83167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0,387,57148
Ammodytes dubius,310652,0,0,0,2026,0,0,17201,0,0,0,0,0,0,0,147498,5163,983,0,0,0,598,0,0,0,0,0,0,0,0,117894,1081,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,1293,0,0,0,7574
Ammodytes g.,635502,0,0,0,6944,17,0,54929,0,1200,0,0,8321,0,0,535517,42299,3676,7300,0,2981,10,4465,0,0,0,3523,3913,0,0,582707,0,0,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,0,3121,2857,624127
Ammodytes personatus,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3890,0,0
Ammodytes tobianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Amphiascopsis cinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,0,0,0
Anarhichas g.,0,0,0,0,0,0,574,0,0,594,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatidae f.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0
Anisarchus medius,0,0,0,0,0,0,0,0,0,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphrodita hastata,0,0,0,0,0,0,0,65,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,0,0,27,33,0,0,0,45,16,0,0,0,0,13,0,0
Arctica islandica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,0,0
Arctozenus risso,0,0,0,0,0,0,0,0,0,0,0,0,7628,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32743,0,0,0,0,0,0,51,0,0,0,0,0,46,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0
Artacama proboscidea,0,0,0,0,0,0,112,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asterias rubens,0,0,2015,1076,0,0,0,0,0,0,4844,0,0,0,0,0,0,0,0,0,2548,2541,1803,1581,0,0,0,4467,8526,664,24625,0,0,17,0,0,0,0,4084,0,630,0,217,0,0,0,0,802,30321,3529,0,9750,0,178
Aurelia aurita,0,0,0,0,0,0,15,65,0,57,17,154,0,0,0,33,24,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurelia g.,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera acutorostrata,0,0,0,0,0,19,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,75,0,0,0,0,0,0,0,0
Balaenoptera musculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera physalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
Balanidae f.,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Balanus crenatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
Balanus g.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathypolypus arcticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,4744,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74676,10282,0,0,0,0,0,0,0
Bougainvillia muscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisaster fragilis,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,37,0,0,34,0,0,0,0,25,0,31,0,0,0,0,16,0,0,0,0,0,0,0
Brosme brosme,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81996,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,6472,0,0,0,0,0,0,0,0
Calanus finmarchicus,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,2030,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,2155,0
Calanus g.,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,139869,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanus hyperboreus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer borealis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caridion gordoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catablema multicirratum,0,0,0,0,0,0,0,0,0,0,0,636,91,0,0,0,0,121,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Catablema vesicarium,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages hamatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,874,58,83,14566,1197,0,0
Centropages typicus,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetorhinus maximus,0,0,114,0,0,746,0,0,0,2430,0,0,0,38,3873,0,0,0,0,178,0,0,0,0,13478,33175,18,2038,0,0,0,0,0,0,1763,62,0,0,0,0,56,2182,0,0,315,9460,4468,0,0,367,0,0,0,0
Chaetozone g.,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamys islandica,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1963,26,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chone infundibuliformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
