region,year_surv,year,month,day,strata,strata_area,set,trip,vessel,nafo,stomach_id,predator_species,predator_length,shrimp_weight,pandalus_sp_weight,pandalus_borealis_weight,pandalus_montagui_weight,chionoecetes_opilio_weight,foragefish_weight,other_weight
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1277_278,reinhardtius_hippoglossoides,18,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1279_280,reinhardtius_hippoglossoides,18,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1325_326,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1326_327,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,3.338
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1327_328,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1328_329,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1329_330,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1341_332,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1343_334,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1344_335,reinhardtius_hippoglossoides,43,0,0,0,0,0,0,1.632
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1345_336,reinhardtius_hippoglossoides,53,0,0,0,0,0,0,8.919
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1346_337,reinhardtius_hippoglossoides,53,0,0,0,0,0,0,3.037
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1348_339,reinhardtius_hippoglossoides,53,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1349_340,reinhardtius_hippoglossoides,53,0,0,0,0,0,0,14.436
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1354_345,reinhardtius_hippoglossoides,13,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1360_351,reinhardtius_hippoglossoides,33,0,0,0,0,0,0,4.889
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1361_352,reinhardtius_hippoglossoides,33,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1362_353,reinhardtius_hippoglossoides,33,0,0,0,0,0,0,6.7
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1363_354,reinhardtius_hippoglossoides,33,0,0,0,0,0,0,20.507
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1364_355,reinhardtius_hippoglossoides,38,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1365_356,reinhardtius_hippoglossoides,23,0,0,4.7,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1366_357,reinhardtius_hippoglossoides,23,0,0,0,0,0,0,5.142
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1367_358,reinhardtius_hippoglossoides,23,0,0,0,0,0,0,4.154
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1368_359,reinhardtius_hippoglossoides,28,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1372_363,reinhardtius_hippoglossoides,18,0,0,0,0,0,0,1.107
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1434_425,reinhardtius_hippoglossoides,28,0,0,0,0,0,0,16.361
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1435_426,reinhardtius_hippoglossoides,28,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1559_550,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1560_551,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,19.722
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1561_552,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1562_553,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1563_555,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,0.065
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1564_556,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1565_557,reinhardtius_hippoglossoides,48,0,0,3.56,5.264,0,0,0
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1567_559,reinhardtius_hippoglossoides,48,0,0,0,0,0,0,9.847
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1568_560,reinhardtius_hippoglossoides,63,0,0,0,0,0,0,3.837
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1569_561,reinhardtius_hippoglossoides,73,0,0,0,0,0,0,3.184
Arctic,2018,2018,8,7,308W,1444.8,62113088,113,62,RISA,62113088_892_1_1_1570_562,reinhardtius_hippoglossoides,68,0,0,0,0,0,0,0
