"Variable","type","Minimum Target","filter","Achieved","Percent to Goal"
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter",11.95,59.7
"Areas of high fish species richness (East)","Biodiversity hotspot",20,"Fine-filter",6.14,30.7
"Areas of high fish species richness (West)","Biodiversity hotspot",20,"Fine-filter",0.02,0.1
"Areas of high invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter",0.69,3.4
"Areas of high invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter",0,0
"Areas of high small fish species richness (East)","Biodiversity hotspot",20,"Fine-filter",10.15,50.8
"Areas of high small fish species richness (West)","Biodiversity hotspot",20,"Fine-filter",0,0
"Areas of high small invertebrate species richness (East)","Biodiversity hotspot",20,"Fine-filter",11.01,55
"Areas of high small invertebrate species richness (West)","Biodiversity hotspot",20,"Fine-filter",0,0
"Stalked tunicate fields","Biogenic habitat",80,"Fine-filter",0,0
"Large gorgonian coral concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter",0,0
"Large gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",80,"Fine-filter",0,0
"Other sponge concentrations (Kernel Density Estimations)","Biogenic habitat",20,"Fine-filter",0,0
"Sand dollar distribution (Kernel Density Estimate)","Biogenic habitat",20,"Fine-filter",0,0
"Sea pen fields (Kernel Density Estimations)","Biogenic habitat",60,"Fine-filter",0.42,0.7
"Sea pen fields (Species Distribution Models)","Biogenic habitat",60,"Fine-filter",0,0
"Small gorgonian coral concentrations (Species Distribution Models)","Biogenic habitat",60,"Fine-filter",0,0
"Soft coral gardens (Kernel Density Estimations)","Biogenic habitat",10,"Fine-filter",0,0
"Vazella pourtalesi (sponge) concentrations (Kernel Density Estimations)","Biogenic habitat",80,"Fine-filter",0,0
"Baccaro and LaHave Banks ","Biophysical unit classification",11,"Coarse-filter",0,0
"Eastern Scotian Shelf ","Biophysical unit classification",10,"Coarse-filter",0,0
"Gulf of Maine ","Biophysical unit classification",10,"Coarse-filter",0,0
"LaHave and Emerald Basins ","Biophysical unit classification",10,"Coarse-filter",25.7,100
"Laurentian Slope ","Biophysical unit classification",10,"Coarse-filter",0,0
"Slope, Rise, and Abyss ","Biophysical unit classification",10,"Coarse-filter",0,0
"Western and Sable Island Banks ","Biophysical unit classification",10,"Coarse-filter",4.36,43.6
"Bluefin Tuna Landings","Commercial fishery landing",80,"Fisheries",100.09,100
"Fixed Gear Haddock Landings (Zone 4X & 5Y)","Commercial fishery landing",80,"Fisheries",100,100
"Fixed Gear Haddock Landings (Zone 5Ze)","Commercial fishery landing",80,"Fisheries",100,100
"Mobile Gear Haddock Landings (Zone 4X & 5Y)","Commercial fishery landing",80,"Fisheries",100,100
"Mobile Gear Haddock Landings (Zone 5Ze)","Commercial fishery landing",80,"Fisheries",100,100
"Crab Landings (Fishing Area 20, 21, 22)","Commercial fishery landing",80,"Fisheries",100,100
"Crab Landings (Fishing Area 23, 24e)","Commercial fishery landing",80,"Fisheries",100,100
"Crab Landings (Fishing Area 24w)","Commercial fishery landing",80,"Fisheries",100,100
"Flounder Landings (East)","Commercial fishery landing",80,"Fisheries",100.22,100
"Flounder Landings (West)","Commercial fishery landing",80,"Fisheries",100,100
"Flounder Landings (South)","Commercial fishery landing",80,"Fisheries",100,100
"Hagfish Landings (Zone 4V)","Commercial fishery landing",80,"Fisheries",100,100
"Hagfish Landings (Zone 4W)","Commercial fishery landing",80,"Fisheries",102.61,100
"Hagfish Landings (Zone 4X)","Commercial fishery landing",80,"Fisheries",100,100
"Hagfish Landings (Zone 5Ze)","Commercial fishery landing",80,"Fisheries",100,100
"Halibut Landings for Vessels 45-65 ft","Commercial fishery landing",80,"Fisheries",100.29,100
"Halibut Landings for Vessels >65 ft.","Commercial fishery landing",80,"Fisheries",100,100
"Halibut Landings for Vessels <45 ft. (Zone 4Vn)","Commercial fishery landing",80,"Fisheries",100,100
"Halibut Landings for Vessels <45 ft. (Zone 4Vs & 4W)","Commercial fishery landing",80,"Fisheries",100.89,100
"Halibut Landings for Vessels <45 ft. (Zone 4X)","Commercial fishery landing",80,"Fisheries",100.01,100
"Halibut Landings for Vessels < 45 ft. (Zone 5Ze)","Commercial fishery landing",80,"Fisheries",100,100
"Fixed Gear Herring Landings","Commercial fishery landing",80,"Fisheries",100,100
"Mobile Gear Herring Landings","Commercial fishery landing",80,"Fisheries",100.38,100
"Other Tuna Landings","Commercial fishery landing",80,"Fisheries",100.01,100
"Fixed Gear Pollock Landings","Commercial fishery landing",80,"Fisheries",100.02,100
"Mobile Gear Pollock Landings","Commercial fishery landing",80,"Fisheries",100.18,100
"Redfish Landings (Unit 2)","Commercial fishery landing",80,"Fisheries",100,100
"Redfish Landings (Unit 3)","Commercial fishery landing",80,"Fisheries",100.01,100
"Scallop Landings (Fishing Area 25)","Commercial fishery landing",80,"Fisheries",100.9,100
"Scallop Landings (Fishing Area 26)","Commercial fishery landing",80,"Fisheries",100,100
"Scallop Landings (Fishing Area 27)","Commercial fishery landing",80,"Fisheries",100,100
"Scallop Landings (Fishing Area 28)","Commercial fishery landing",80,"Fisheries",100,100
"Scallop Landings (Fishing Area 29e)","Commercial fishery landing",80,"Fisheries",100,100
"Scallop Landings (Fishing Area 29w)","Commercial fishery landing",80,"Fisheries",100,100
"Mobile Gear Shrimp Landings","Commercial fishery landing",80,"Fisheries",100,100
