"Variable","type","Minimum Target","filter","name","Achieved","Percent to Goal"
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Bird Islands",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Eastern Shore Islands",0.14,0.7
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Port Hebert Bird Sanctuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Machias Seal Island Bird Sanctuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Grand Manan Bird Sanctuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Sable River Bird Sanctuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Port Joli Bird Sanctuary",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Musquash Estuary Marine Protected Area",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Kejimkujik Seaside National Park and Historic Site",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Boot Island National Wildlife Area",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","John Lusby Marsh National Wildlife Area",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Long Eddy",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Bras d’Or Lake",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Salmon Rivers",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Western/Emerald Banks Marine Refuge",11.95,59.7
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Northeast Channel Coral Marine Refuge",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Emerald Basin Sponge Marine Refuge",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Sambro Bank Sponge Marine Refuge",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Corsair and Georges Canyons Marine Refuge",0.01,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Eastern Canyons Marine Refuge",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Southwest Bank",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Western Jordan Basin",0.01,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Georges Bank",0.88,4.4
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","LaHave Basin",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Scotian Gulf",0.07,0.4
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Central Scotian Slope, Rise and Abyss",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Inner Shelf Sea Pen Field",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Sable Island Bank",3.22,16.1
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Canso Bank and Channels",3.04,15.2
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Misaine Bank and Laurentian Channel",0,0
"Areas of high ichthyoplankton species richness ","Biodiversity hotspot",20,"Fine-filter","Eastern Shoal",0.53,2.7
