"Kingdom","Phylum","Class","Order","Family","Genus","Species","aphiaID","type"
"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis",158056,"RV"
"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",158057,"RV"
"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",156134,"RV"
"Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus acadianus",158400,"RV"
"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Dichelopandalus","Dichelopandalus leptocerus",158356,"RV"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Chirona","Chirona hameri",106207,"RV"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinaceus",1577339,"RV"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata",158553,"RV"
"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine limosa",271309,"RV"
"Animalia","Chordata","Teleostei","Argentiniformes","Argentinidae","Argentina","Argentina silus",126715,"RV"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua",126436,"RV"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens",126441,"RV"
"Animalia","Chordata","Teleostei","Perciformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus",159518,"RV"
"Animalia","Chordata","Teleostei","Polymixiiformes","Polymixiidae","Polymixia","Polymixia lowei",158923,"RV"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber","Scomber scombrus",127023,"RV"
"Animalia","Chordata","Teleostei","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus",159828,"RV"
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias polaris",292974,"RV"
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Sclerasterias","Sclerasterias tanneri",178806,"RV"
"Animalia","Echinodermata","Asteroidea","Paxillosida","Pseudarchasteridae","Pseudarchaster","Pseudarchaster parelii",124085,"RV"
"Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Hippasteria","Hippasteria phrygiana",124043,"RV"
"Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Porania","Porania (Porania) pulvillus",125166,"RV"
"Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Lophaster","Lophaster furcifer",124156,"RV"
"Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","Solaster endeca",124160,"RV"
"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Placopecten","Placopecten magellanicus",156972,"RV"
"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex","Illex illecebrosus",153087,"RV"
"Animalia","Porifera","Hexactinellida","Lyssacinosida","Rossellidae","Vazella","Vazella pourtalesii",172121,"RV"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus",126417,"Shared"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Tautogolabrus","Tautogolabrus adspersus",159785,"Shared"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus",126437,"Shared"
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus",158748,"Shared"
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis",158962,"Shared"
"Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis chuss",126503,"Shared"
"Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis tenuis",126504,"Shared"
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius americanus",159184,"Shared"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus",159520,"Shared"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Helicolenus","Helicolenus dactylopterus",127251,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys arctifrons",158791,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus",127136,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides",127137,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus",127138,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Myzopsetta","Myzopsetta ferruginea",1571969,"Shared"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus",158885,"Shared"
"Animalia","Cnidaria","Octocorallia","Scleralcyonacea","Pennatulidae","Pennatula","Pennatula aculeata",128515,"Shared"
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens",123776,"Shared"
"Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","Cucumaria frondosa",124612,"Shared"
"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Myxicola","Myxicola infundibulum",130932,"eDNA"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Laonice","Laonice sarsi",131129,"eDNA"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","Spiophanes kroyeri",131188,"eDNA"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae",NA,NA,913,"eDNA"
"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Pherusa","Pherusa affinis",157526,"eDNA"
"Animalia","Annelida","Polychaeta","Terebellida","Trichobranchidae","Terebellides","Terebellides gracilis",340092,"eDNA"
"Animalia","Annelida","Polychaeta","Terebellida","Trichobranchidae","Terebellides","Terebellides stroemii",131573,"eDNA"
"Animalia","Annelida","Polychaeta",NA,"Polygordiidae","Polygordius","Polygordius jouinae",390168,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus finmarchicus",104464,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus mimus",355067,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus minutus",104517,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Pseudocalanus newmani",157679,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Metridinidae","Metridia","Metridia lucens",104633,"eDNA"
"Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Temora","Temora longicornis",104878,"eDNA"
"Animalia","Arthropoda","Copepoda","Cyclopoida","Oithonidae","Oithona","Oithona similis",106656,"eDNA"
"Animalia","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Caridion","Caridion gordoni",107499,"eDNA"
"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Meganyctiphanes","Meganyctiphanes norvegica",110690,"eDNA"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Triticellidae","Triticella","Triticella pedicellata",111654,"eDNA"
"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca",105801,"eDNA"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus",105837,"eDNA"
"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus",105841,"eDNA"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea",158551,"eDNA"
"Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus",137091,"eDNA"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso",126352,"eDNA"
"Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Lestidiops","Lestidiops ringens",272096,"eDNA"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus",NA,125732,"eDNA"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus",NA,125733,"eDNA"
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Brosme","Brosme brosme",126447,"eDNA"
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius",126450,"eDNA"
"Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Notoscopelus","Notoscopelus elongatus",158915,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes americanus",159587,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius",151520,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",NA,125909,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus",126996,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes fasciatus",127252,"eDNA"
"Animalia","Chordata","Teleostei","Perciformes","Sebastidae","Sebastes",NA,126175,"eDNA"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus","Thunnus thynnus",127029,"eDNA"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Thunnus",NA,126065,"eDNA"
"Animalia","Cnidaria","Hexacorallia","Actiniaria","Gonactiniidae",NA,NA,100666,"eDNA"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Catablema","Catablema multicirratum",285125,"eDNA"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara octona",117791,"eDNA"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Mitrocomidae","Halopsis","Halopsis ocellata",117751,"eDNA"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Mitrocomidae","Mitrocomella","Mitrocomella polydiademata",117755,"eDNA"
"Animalia","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Nanomia","Nanomia cara",135496,"eDNA"
"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Phacellophoridae","Phacellophora","Phacellophora camtschatica",135309,"eDNA"
"Animalia","Echinodermata","Echinoidea","Echinolampadacea","Echinarachniidae","Echinarachnius","Echinarachnius parma",158062,"eDNA"
"Animalia","Mollusca","Bivalvia","Venerida","Arcticidae","Arctica","Arctica islandica",138802,"eDNA"
"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex",NA,138278,"eDNA"
"Animalia","Porifera","Demospongiae","Axinellida","Raspailiidae","Hymeraphia","Hymeraphia stellifera",133133,"eDNA"
"Animalia","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites",NA,170779,"eDNA"
"Animalia","Porifera","Demospongiae","Suberitida","Suberitidae","Suberites","Suberites ficus",134285,"eDNA"
"Animalia","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella balibaloi",564911,"eDNA"
"Animalia","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella viridis",169725,"eDNA"
